No_Responden,Adv19,Mon19,Ino19,Dana19,JP19,Kapa19,APD19,Ontime19,Lab19,Imun19,Prom19,Susp19,Inisiasi19,Gizi19,Sanitasi19,Kontak19,Lengkap19,Sembuh19,Lost19,Kasus19,Death19
98,0,0,0,"9,200,000",4,0,1925,19,190,819,6,157,58,6,6,15,40,7,3,60,1
99,5,1,0,"6,500,000",2,0,1300,10,375,1489,8,165,72,0,0,30,59,23,3,75,2
100,2,2,2,"14,100,000",4,1,1725,12,44,904,2,98,39,40,25,12,43,0,2,41,1
101,1,0,1,"8,000,000",3,1,1600,7,45,669,1,66,33,2,2,11,26,1,2,34,0
102,1,1,1,"8,000,000",4,1,1700,8,12,292,1,17,12,0,0,5,11,3,1,13,0
103,1,1,1,"12,300,000",4,1,1650,11,68,1430,1,131,50,12,11,29,42,5,2,52,0
104,7,12,7,"14,000,000",4,5,1700,12,400,171,10,154,48,11,1,6,56,6,2,50,2
105,0,0,1,"17,450,000",4,1,1850,8,151,1620,4,120,70,7,7,38,12,3,3,73,0
106,7,3,1,"16,300,000",8,5,2200,5,100,1255,7,238,51,47,47,52,26,0,2,53,0
107,2,2,1,"6,000,000",2,5,1300,18,200,791,2,175,75,0,0,5,40,6,4,78,0
108,1,1,0,"10,500,000",3,1,1400,12,150,557,10,125,52,36,36,36,15,3,2,54,5
109,1,1,0,"12,000,000",3,0,1400,2,156,44,6,179,54,2,0,6,51,7,3,56,1
110,1,5,0,"14,000,000",3,1,1750,12,140,587,3,125,31,50,50,32,22,11,1,32,2
111,1,2,2,"15,500,000",3,1,1500,1,175,1285,2,274,164,37,40,35,137,40,8,171,3
112,1,2,1,"14,400,000",3,1,1650,12,89,762,2,154,71,52,52,32,50,25,3,74,3
113,0,0,3,"10,000,000",2,0,1350,5,70,1174,2,63,25,10,10,26,64,14,1,26,0
114,2,3,2,"17,125,000",4,3,1650,12,42,528,2,48,36,21,24,16,16,6,2,38,1
115,0,0,1,"18,500,000",5,2,2100,11,202,1275,0,342,97,42,32,23,100,6,5,101,3
116,1,0,1,"9,000,000",4,0,1745,10,54,538,0,82,24,5,5,15,30,0,1,25,1
117,1,1,1,"9,500,000",4,5,1850,12,25,728,2,123,47,46,46,46,30,4,2,49,0
118,1,0,1,"12,500,000",4,2,1800,12,199,595,1,245,71,21,15,26,22,30,3,74,1
119,1,1,1,"9,500,000",5,0,2050,17,160,985,0,132,61,11,2,40,67,10,3,64,1
120,0,4,0,"8,000,000",4,1,1700,4,74,595,1,41,20,20,5,5,13,1,1,21,2
121,3,4,1,"9,500,000",4,3,1700,12,82,782,6,85,33,5,0,2,39,8,2,34,0
122,1,4,1,"9,000,000",3,1,1400,12,19,810,4,80,23,17,33,33,18,0,1,24,0
123,0,0,0,"11,000,000",4,0,1700,3,75,576,0,85,33,42,42,42,22,14,2,34,1
124,2,1,0,"12,700,000",5,1,1900,12,146,1249,5,135,64,50,50,50,50,20,3,67,7
