No_Responden,Adv19,Adv21,Mon19,Mon21,Ino19,Ino21,Dana19,Dana21,JP19,JP21,Kapa19,Kapa21,APD19,APD21,Ontime19,Ontime21,Lab19,Lab21,Imun19,Imun21,Prom19,Prom21,Susp19,Susp21,Inisiasi19,Inisiasi21,Gizi19,Gizi21,Sanitasi19,Sanitasi21,Kontak19,Kontak21,Lengkap19,Lengkap21,Sembuh19,Sembuh21,Lost19,Lost21,Kasus19,Kasus21,Death19,Death21
35,2,4,4,2,1,0," 12,700,000 "," 10,000,000 ",4,3,3,2,865,1515,14,12,189,96,1174,1067,7,3,184,114,68,31,68,30,68,30,68,30,37,22,25,10,1,1,70,32,5,2
36,2,0,5,0,0,0," 11,100,000 "," 9,200,000 ",5,4,1,0,700,1925,14,19,270,190,1099,819,12,6,240,157,88,58,10,6,10,6,58,15,50,40,29,7,3,3,90,60,1,1
37,2,5,5,1,1,0," 14,500,000 "," 6,500,000 ",4,2,3,0,1000,1300,12,10,249,375,1494,1489,12,8,129,165,127,72,20,0,15,0,100,30,78,59,53,23,5,3,130,75,4,2
38,2,2,5,2,1,2," 13,930,000 "," 14,100,000 ",5,4,3,1,850,1725,12,12,47,44,1018,904,4,2,93,98,53,39,50,40,72,25,32,12,42,43,9,0,2,2,54,41,1,1
39,2,1,4,0,1,1," 10,850,000 "," 8,000,000 ",4,3,4,1,900,1600,8,7,150,45,942,669,4,1,160,66,33,33,18,2,18,2,29,11,36,26,12,1,1,2,34,34,1,0
40,2,1,5,1,1,1," 9,400,000 "," 8,000,000 ",4,4,4,1,900,1700,10,8,29,12,475,292,3,1,39,17,26,12,10,0,10,0,23,5,12,11,4,3,1,1,27,13,1,0
41,2,1,5,1,1,1," 15,250,000 "," 12,300,000 ",4,4,4,1,824,1650,12,11,158,68,1646,1430,3,1,281,131,113,50,45,12,40,11,89,29,60,42,32,5,2,2,116,52,2,0
42,2,7,12,12,7,7," 16,300,000 "," 14,000,000 ",4,4,10,5,1000,1700,12,12,350,400,1454,171,12,10,95,154,52,48,13,11,4,1,20,6,25,56,20,6,2,2,53,50,2,2
43,2,0,5,0,1,1," 22,650,000 "," 17,450,000 ",4,4,4,1,1125,1850,6,8,423,151,2250,1620,8,4,456,120,144,70,32,7,32,7,103,38,78,12,25,3,5,3,148,73,1,0
44,2,7,5,3,1,1," 17,150,000 "," 16,300,000 ",8,8,5,5,1110,2200,8,5,98,100,1382,1255,5,7,222,238,104,51,40,47,40,47,40,52,103,26,11,0,4,2,107,53,1,0
45,2,2,6,2,3,1," 14,000,000 "," 6,000,000 ",3,2,10,5,900,1300,18,18,300,200,918,791,10,2,191,175,106,75,22,0,32,0,64,5,65,40,23,6,4,4,109,78,5,0
46,2,1,5,1,0,0," 12,500,000 "," 10,500,000 ",3,3,1,1,1050,1400,12,12,200,150,718,557,10,10,180,125,135,52,36,36,36,36,36,36,85,15,18,3,3,2,138,54,3,5
47,2,1,4,1,1,0," 15,150,000 "," 12,000,000 ",5,3,2,0,1025,1400,12,2,172,156,1086,44,8,6,227,179,104,54,20,2,41,0,34,6,53,51,41,7,4,3,107,56,3,1
48,2,1,11,5,2,0," 24,000,000 "," 14,000,000 ",3,3,3,1,1345,1750,12,12,140,140,647,587,6,3,217,125,51,31,76,50,76,50,52,32,19,22,9,11,2,1,52,32,3,2
49,2,1,6,2,4,2," 19,000,000 "," 15,500,000 ",3,3,4,1,1200,1500,11,1,173,175,1524,1285,8,2,1225,274,169,164,50,37,52,40,55,35,207,137,78,40,5,8,173,171,3,3
50,2,1,4,2,1,1," 17,300,000 "," 14,400,000 ",3,3,1,1,1000,1650,12,12,105,89,930,762,4,2,366,154,102,71,87,52,102,52,97,32,93,50,7,25,4,3,105,74,3,3
